IDs,IDs,Dates,Amounts,Amounts,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta
BUYER_ID, Account ID  ,Unnamed: 0,Amt,amount (aed),CCY_CODE,Approval_Status,_branch_region__,remarks (v2),OPS_COMMENT,,year_added_2021,new_col_202111,Unnamed: 0,mystery_2021_11_39,mystery_2021_11_40,mystery_2021_11_53,mystery_2021_11_48,mystery_2021_11_9,Unnamed: 0
C85710,A-4889702,,-2752.2684647097467,not available,GBP,Closed,UAQ,ok,ok,,,,,,,,,,x
C66806,A-9114383,,552.3621727141657,(522.36),OMR,CANCELLED,UAQ,ok,ok,,Y21,,x,,,x,,,
C57297,A-3156937,,-4772.18,-4772.18,USD,,FJR,needs review,needs review,,1,68,,,,,,,
C14971,A-3460924,x,464.21,(490.25),GBP,CANCELLED,UAQ,ملاحظة,ملاحظة,,Y21,,,,,,,,
C34149,A/52668,,-4576.14,-4576.14,EUR,Pending,DXB,needs review,needs review,,Y21,88,,,,,,,
C72858,A/92693,,-19.78,-64.92730228277355,OMR,In Review,UAQ,ok,ok,,Y21,m11,,,,,x,,
,A-9016756,,-4735.56,-4771.335333570867,GBP,Open,UAQ,,,,1,,,,,,,,
C82328,A-1454765,,(26952.60),26952.6,omr ,,DXB,,,,Y21,m11,,x,,,,,x
C89463,A-3384692,,22739.5,"22,759.82",gbp ,,SHJ,needs review,needs review,,Y21,m11,,,,,,,
C66322,A-6619891,,-2774.77,-2774.77,SAR,,AAN,,,,Y21,m11,,,,x,,,
C16478,A-7373745,,,9427.84,USD,In Review,UAQ,ok,ok,,,55,x,,,,,,
C91968,A-2039640,,(13187.14),13220.1,OMR,Pending,DXB,ok,ok,,1,m11,,,,,,,
C98635,A-7759065,,7209.34,7209.34,EUR,In Review,UAQ,ok,ok,,Y21,77,,,,,,,
C28603,A-3991703,,11550.95,,USD,Closed,AAN,needs review,needs review,,Y21,m11,,,,,,,
C33676,,,-7623.53,-7623.53,OMR,Closed,AAN,!!!,!!!,,,m11,,x,,,,,x
C62988,A-9281519,,-834.47,-834.47,OMR,In Review,FJR,ok,ok,,0,,,,,,,x,
,A/81383,,-1405.87,-1405.87,USD,Pending,AUH,,,,1,93,,,,,,,
C27825,A/2683,,14319.187481746716,14302.61920206119,USD,,AUH,needs review,needs review,,,,x,,,,,x,
C86618,A-5969288,,4004.411207827466,"4,008.47",SAR,CANCELLED,  DXB,!!!,!!!,junk,0,m11,x,,,,,x,
C44841,A-5156500,,4441.99,(4441.99),AED,CANCELLED,RAK,,,junk,,m11,,,,,,,
C73280,A-7322292,,7133.95,,GBP,Pending,FJR,ok,ok,,Y21,,,,,,,,
C91920,A/23058,,18537.35,18537.35,GBP,CANCELLED,  AUH,!!!,!!!,,Y21,m11,,,,,,,
C81141,A-6117859,,19327.88,19317.76389834045,AED,,FJR,needs review,needs review,,0,,,,,,,,
C56799,A-3231294,,-6349.12,-6340.710868549968,OMR,Open,SHJ,ok,ok,,Y21,48,,,,,,,
