CLIENT_REF,ledger_account !!,POSTING DATE,Value,net_value,currency_code !!,Approval_Status,branch_region,Notes !!,Commentary,,YEAR_ADDED_2022, new_col_202207 ,Status,mystery_2022_07_4,mystery_2022_07_59,mystery_2022_07_86,mystery_2022_07_29,mystery_2022_07_19,Unnamed: 0
C86394,A-3867162,21/07/2022,14330.600394342997,,EUR,In Review,  RAK,needs review,needs review,,0,m7,In Review,,,,,,
C33929,A-3869952,27/07/2022,not available,1592.46404977975,OMR,In Review,SHJ,ok,ok,,Y22,m7,In Review,,,,x,,
C72220,A-3575450,28/07/2022,-1176.06,"-1,176.06",AED,,AAN,ok,ok,,Y22,m7,,,,,,,
,A-8315552,16 July 2022,7143.028711903125,"7,166.50",USD,CANCELLED,UAQ,ok,ok,,Y22,80,CANCELLED,,,,,,
C94495,A-8443087,04 July 2022,"8,205.17",8159.11,EUR,Pending,SHJ,,,junk,Y22,,Pending,,,,,,
C97453,A/78514,17/07/2022,-4439.772296108149,,SAR,Pending,RAK,needs review,needs review,,0,,Pending,,,,,,
C80956,A/37860,2022-07-28 00:00:00,28415.41,28415.41,EUR,CANCELLED,DXB,ملاحظة,ملاحظة,,0,m7,CANCELLED,,,,,,
C52820,A-9215592,2022-07-22,,"5,295.59",OMR,Pending,DXB,ok,ok,,Y22,m7,Pending,,,x,,x,x
C32255,A-7102497,2022-07-03,26429.79,26429.79,EUR,Open,SHJ,needs review,needs review,,,,Open,,,,,,x
C29302,A-9041725,2022-07-23 00:00:00,8514.2,8514.2,USD,In Review,AAN,ok,ok,,Y22,m7,In Review,,x,,,,x
,A-8678528,2022-07-10,"16,076.04",16076.04,GBP,Open,  UAQ,,,junk,Y22,m7,Open,,,,,x,
C86902,A-7191655,09 July 2022,29040.15144036402,,AED,Pending,UAQ,ok,ok,,Y22,m7,Pending,,,,,,
C81929,A-5612431,32/13/2023,(3252.96),,AED,Closed,AUH,needs review,needs review,,,m7,Closed,,,,x,,
,A/24782,14/07/2022,1261.29,,SAR,,DXB,!!!,!!!,,Y22,,,,,,,x,
C52791,A/243,12/07/2022,-4187.59,-4168.629979937873,aed ,Pending,  DXB,ملاحظة,ملاحظة,,Y22,68,Pending,,,,,,
C78045,A/82537,Jul-27-22,"10,173.70",10221.67,GBP,Closed,UAQ,ملاحظة,ملاحظة,,0,m7,Closed,,x,,,,
C43354,A/67979,2022-07-27 00:00:00,2718.9314405305104,,EUR,Open,FJR,ملاحظة,ملاحظة,,,m7,Open,,,,,,
C23767,A-1137985,11/07/2022,27053.44,27053.44,EUR,Pending,AAN,ok,ok,,Y22,m7,Pending,,x,,x,,
C94087,A-1553016,12 July 2022,(5891.92),"5,887.32",SAR,,DXB,,,,Y22,,,,x,,,,
C61773,A/48891,2022-07-04,21360.25,,EUR,Pending,  AUH,needs review,needs review,,Y22,,Pending,,,,,,
C59392,A-9649854,32/13/2023,-6190.24,-6190.24,OMR,Closed,UAQ,ملاحظة,ملاحظة,,0,83,Closed,,x,,,x,
C90518,A-2668341,13/07/2022,14329.38,14329.38,AED,,AUH,needs review,needs review,,0,,,,,,,,
C78705,A-5211694,2022-07-26,,15890.37,EUR,Closed,DXB,!!!,!!!,,Y22,40,Closed,,,,x,,
C31222,A-6362254,Jul-18-22,not available,16453.89,EUR,Open,UAQ,needs review,needs review,,,33,Open,,,x,x,,
,A/22180,03/07/2022,,18686.27291399551,OMR,Pending,  UAQ,ok,ok,,1,,Pending,,,,,,
,A-4673166,2022-07-20,29653.15196087817,29637.918348242038,USD,Closed,AAN,!!!,!!!,,1,,Closed,,,,,,
C12028,A-9554863,2022-07-24,24495.74,,OMR,,UAQ,ok,ok,,Y22,,,,,,,,
C11544,,2022-07-20,-3741.2,-3736.196045268059,USD,Open,DXB,!!!,!!!,,Y22,66,Open,,,,,,
C78138,A-2984405,2022-07-24,594.17,594.17,USD,,UAQ,,,,,54,,,,,,,
,A-7236067,03/07/2022,"18,017.06",18040.68,OMR,,AAN,needs review,needs review,,Y22,68,,,,,,,
C89263,A-3357604,24/07/2022,13843.66,13843.66,AED,CANCELLED,AUH,ok,ok,,0,33,CANCELLED,,,,x,,
C68745,A-6182688,32/13/2023,,"28,357.45",EUR,CANCELLED,FJR,,,,Y22,95,CANCELLED,,,,,,
C87342,A-3087375,09/07/2022,19435.06,19435.06,USD,In Review,UAQ,ok,ok,junk,,m7,In Review,,,,,,
C71258,,21 July 2022,25914.53323725612,25931.07,AED,CANCELLED,UAQ,,,,,,CANCELLED,,x,,,,
C39658,A/41012,Jul-14-22,24943.27300912436,24912.95,OMR,,DXB,ok,ok,,1,m7,,,,,,,
C45375,A-7588599,Jul-08-22,(8068.61),(8056.62),AED,,FJR,needs review,needs review,junk,Y22,53,,,,,,,
C47373,A-5432149,2022-07-13,-4524.94498032574,-4509.64,OMR,In Review,RAK,needs review,needs review,,,m7,In Review,,x,,x,,
