IDs,IDs,Dates,Amounts,Amounts,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta
_buyer_id__,ACC_KEY, Date  ,NET_VALUE,NET_VALUE,ISO_CURR,STATE !!, area  ,ops_comment, memo  ,,YEAR_ADDED_2022, new_col_202208 ,commentary,mystery_2022_08_58,mystery_2022_08_42
C26586,A-4185235,,29490.84331486094,29471.2,EUR,,DXB,,,,,m8,,,
C74328,A-3424753,Aug-02-22,6975.85,not available,SAR,Closed,RAK,,,,0,m8,,,
C40205,,2022-08-11,9954.419016300528,9985.6,AED,In Review,FJR,,,,,45,,,
C76543,,Aug-19-22,-472.8296012027578,,OMR,In Review,FJR,needs review,needs review,,Y22,m8,needs review,,
,A-8859410,2022-08-20,"22,760.37",22748.62167520737,GBP,,UAQ,needs review,needs review,,Y22,,needs review,,
C26047,A-9861891,0000-00-00,"22,142.34",not available,AED,In Review,DXB,!!!,!!!,,,46,!!!,,x
C11265,A/90788,2022-08-01,"16,665.14",16667.9432414961,GBP,CANCELLED,SHJ,needs review,needs review,,0,m8,needs review,,
C78382,A-7510769,02/08/2022,11352.58643965002,11382.22,OMR,CANCELLED,AUH,,,junk,1,,,,
C26180,A-6360034,2022-08-13,"10,384.22",10418.3704266053,OMR,In Review,RAK,needs review,needs review,,,,needs review,,
,A-6307317,2022-08-27 00:00:00,,"24,740.29",SAR,In Review,AUH,ok,ok,,Y22,,ok,,
C29894,A-3930934,,13836.09,13836.09,SAR,,SHJ,,,,Y22,m8,,,
C30466,A-3853265,26/08/2022,,9750.35,SAR,In Review,DXB,needs review,needs review,,,m8,needs review,,
,A-4038350,2022-08-25 00:00:00,3809.661014133566,,EUR,In Review,AAN,!!!,!!!,,Y22,,!!!,,x
C35175,A-6105152,Aug-26-22,10094.52,"10,094.52",AED,,RAK,ok,ok,,1,m8,ok,,
C40827,A/15281,05/08/2022,16864.76,16864.76,USD,Open,DXB,ok,ok,,Y22,,ok,x,x
,A-1859576,26 August 2022,-1235.750863451344,(1239.71),USD,Closed,AAN,ok,ok,,1,,ok,,
C49170,,08/08/2022,not available,14884.47,EUR,CANCELLED,AUH,ok,ok,,Y22,,ok,,
C12370,A-6760433,17/08/2022,-5770.47,(5809.21),SAR,Pending,DXB,,,,Y22,11,,x,
C37210,,18 August 2022,-7652.630748655702,,GBP,CANCELLED,SHJ,,,,1,m8,,,
C46549,,15 August 2022,"3,984.93",3978.67,SAR,In Review,FJR,!!!,!!!,,1,97,!!!,,
,A-9821932,2022-08-09,,14519.72,AED,In Review,AUH,ok,ok,,,m8,ok,,
C53654,A-9394973,0000-00-00,22477.12,22477.12,AED,Open,DXB,!!!,!!!,,0,m8,!!!,,
,A-1889093,Aug-15-22,(18799.21),"18,777.80",OMR,Closed,UAQ,ملاحظة,ملاحظة,,Y22,,ملاحظة,,
C19767,A-9200801,2022-08-24 00:00:00,"28,041.18","28,064.83",GBP,,UAQ,needs review,needs review,,,m8,needs review,,
,A-8906975,32/13/2023,2210.494039271694,2193.91,AED,Open,SHJ,needs review,needs review,junk,Y22,m8,needs review,,
C16511,A/53601,Aug-18-22,23169.98821977197,23116.05020262756,USD,,RAK,,,,Y22,68,,,
C92591,A-2566262,2022-08-15,,-1160.63,EUR,,DXB,ok,ok,,Y22,24,ok,,
C65344,A-7301862,2022-08-08,2038.61,2077.0567162149873,USD,Closed,  UAQ,ok,ok,,1,53,ok,,
C96913,A-4087219,03 August 2022,18061.14,,EUR,,RAK,needs review,needs review,,,m8,needs review,,
C58428,A-6947113,2022-08-12,-5125.62,-5095.944353984342,SAR,Open,FJR,needs review,needs review,,Y22,,needs review,,
,A-6120974,2022-08-14,18493.95,18493.95,AED,,AAN,ok,ok,,Y22,m8,ok,,
C67339,A-7497987,23/08/2022,9649.96,9606.44772756418,GBP,,DXB,,,,Y22,78,,x,x
C38083,A-9421022,21 August 2022,20817.51,(20817.51),OMR,,AUH,needs review,needs review,,0,m8,needs review,,x
C62228,A-1363033,2022-08-05,2351.41,2332.624500519428,EUR,,DXB,!!!,!!!,,0,m8,!!!,,
C17416,A-9384201,2022-08-27,24220.36,(24220.36),GBP,,FJR,needs review,needs review,,1,75,needs review,,x
C20147,A-9154405,20/08/2022,,,OMR,Open,DXB,needs review,needs review,,Y22,34,needs review,,
C63850,A-3823390,Aug-10-22,9211.56,,GBP,Open,DXB,!!!,!!!,junk,Y22,50,!!!,,
C20776,A-4852177,2022-08-25,,,GBP,In Review,FJR,ملاحظة,ملاحظة,,Y22,,ملاحظة,,
C36166,A-5478162,18 August 2022,12957,,EUR,Closed,RAK,ok,ok,,0,m8,ok,,
C72888,A-4463468,0000-00-00,10474.8122495914,10489.63,OMR,In Review,SHJ,needs review,needs review,,Y22,m8,needs review,x,
C10961,A-2959296,2022-08-03,(22022.98),22035.24362920128,GBP,,AUH,,,,,,,,
,A-3022502,15/08/2022,4443.301273914883,4426.965828128502,SAR,CANCELLED,AUH,needs review,needs review,,1,m8,needs review,,
C70682,A-7861334,2022-08-18,"9,384.87",9352.242316965603,aed ,Pending,DXB,ملاحظة,ملاحظة,,,,ملاحظة,,
C79225,A/81291,2022-08-09 00:00:00,"12,493.42",(12456.48),SAR,Closed,UAQ,ملاحظة,ملاحظة,,,44,ملاحظة,,
,A-8087217,2022-08-05,-90.52,,GBP,In Review,FJR,,,,,67,,,
