buyer_id,a/c no.,Date, txn_value  ,amount (AED),,APPRV_STATE,Area,remarks,REMARKS (v2),,year_added_2023, new_col_202304 , state  ,mystery_2023_04_85,mystery_2023_04_74,mystery_2023_04_96,Unnamed: 0
C35573,A/24544,0000-00-00,,29805.43,,In Review,UAQ,ok,ok,,1,15,In Review,,,,
,A/53642,04 April 2023,,15746.14,,Open,UAQ,needs review,needs review,,,93,Open,,,,
C16558,A-6700136,Apr-03-23,,25481.39,,Pending,DXB,ok,ok,,Y23,m4,Pending,x,,,
,A-9657835,0000-00-00,28241.19,"28,241.19",,,AUH,needs review,needs review,,Y23,m4,,,,,
C40697,A-6349689,25/04/2023,,12620.782826650156,,Open,  RAK,!!!,!!!,,0,,Open,,,,
C80000,A-7295468,08 April 2023,"11,817.60",11817.6,,CANCELLED,RAK,,,,Y23,m4,CANCELLED,,,,
C49438,A-4163248,17 April 2023,8216.89,8185.626896566808,,Pending,RAK,ملاحظة,ملاحظة,junk,Y23,m4,Pending,,,,x
C87400,A-6151885,21/04/2023,(17346.78),17364.32172087775,,,AAN,,,,,m4,,,,,
C23441,A-7197830,2023-04-11,20984.96,21006.363154198483,,In Review,AAN,,,,Y23,45,In Review,,,x,
C23003,A-1138081,2023-04-20,28892.94491158143,28874.91,,,  SHJ,ok,ok,,Y23,72,,,,,
,A-2006421,2023-04-07,17414.88771342767,17373.25,,CANCELLED,AAN,needs review,needs review,,Y23,,CANCELLED,,x,,
C82114,A-4240903,2023-04-03,-3009.34,-3009.34,,Pending,RAK,ok,ok,,,68,Pending,,,,
C86783,A-4288700,2023-04-06,1354.91,1354.91,,Open,AAN,ok,ok,junk,0,,Open,,,,
C38833,A-6430287,28/04/2023,,,,,DXB,ok,ok,,,m4,,,,,
C18049,A-7102295,Apr-08-23,-1566.66,,,Pending,FJR,ملاحظة,ملاحظة,,,10,Pending,,,,
C87114,A-9184317,2023-04-25 00:00:00,29253.58113018851,29215.98,,In Review,AAN,!!!,!!!,,,,In Review,,,,
C49249,A-7408899,2023-04-18,-3219.32,"-3,219.32",,,AAN,ok,ok,,Y23,m4,,,,,x
