IDs,IDs,Dates,Amounts,Amounts,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta
CUST#,a/c_no.,VALUE_DATE,amount (AED),GROSS AMOUNT#,ccy#,State,BR_CODE,memo,OPS_COMMENT,UNUSED,YEAR_ADDED_2023,new_col_202308,BR_CODE,mystery_2023_08_62,mystery_2023_08_39,mystery_2023_08_2
,A-2920860,04 August 2023,20927.43,20927.43,GBP,Closed,DXB,ok,ok,,Y23,51,DXB,,,
C67657,A-6069121,21 August 2023,(3184.96),-3184.96,SAR,In Review,DXB,ok,ok,,Y23,,  DXB,,,
C52389,A-6043908,32/13/2023,"-5,560.73",,SAR,Closed,SHJ,,,,Y23,m8,SHJ,,,
C68525,A-7522860,23 August 2023,,19453.86675788917,GBP,,SHJ,needs review,needs review,,,m8,SHJ,,,
,A-6125127,2023-08-05 00:00:00,25580.12,,GBP,Closed,RAK,!!!,!!!,,Y23,m8,RAK,,,
C75530,A-6811230,04 August 2023,12959.37,12959.37,USD,In Review,FJR,needs review,needs review,,Y23,31,FJR,,,x
C15464,A-5210971,2023-08-05 00:00:00,,27613.4,GBP,,UAQ,ok,ok,,Y23,60,UAQ,,,
,A-2864653,2023-08-08,"7,904.35",(7904.35),USD,Pending,DXB,ملاحظة,ملاحظة,,Y23,46,DXB,,,
C64073,A-5240825,32/13/2023,"29,501.13",not available,EUR,In Review,DXB,,,,Y23,,DXB,,,
C43262,A-8688619,2023-08-03,"13,208.78",13218.07412816157,SAR,CANCELLED,DXB,ok,ok,,1,m8,DXB,,,
C35187,A-5032659,2023-08-04 00:00:00,-4617.402944439947,-4610.18,SAR,Pending,SHJ,,,,,,SHJ,,,
C38848,A-8044505,2023-08-10,,,OMR,Pending,FJR,ok,ok,,0,,FJR,,,
C82986,A-5680124,2023-08-17,"-3,757.67",-3724.64,USD,,FJR,ok,ok,x,1,m8,FJR,x,,
C50427,A-6157670,2023-08-09,21457.05,"21,457.05",AED,,UAQ,needs review,needs review,,Y23,m8,UAQ,,,
C67108,A-2936630,2023-08-18,21427.20821185084,21381.16,OMR,In Review,FJR,ok,ok,,1,93,FJR,,,
C66853,A-1860205,Aug-12-23,8995.996339462594,,EUR,CANCELLED,AUH,needs review,needs review,,0,,AUH,,,
C95795,A-7842599,04/08/2023,16374.66,16374.66,AED,,AUH,,,,Y23,65,AUH,,,
,A-3516161,19 August 2023,2339.9091592566297,2294.16,EUR,,UAQ,,,,Y23,,UAQ,,,
C80075,A-4393237,32/13/2023,9342.85,"9,342.85",AED,,  RAK,ok,ok,,Y23,66,RAK,,x,x
C47508,A-8748344,Aug-27-23,-7733.442465772515,-7719.4,GBP,Pending,FJR,ملاحظة,ملاحظة,,Y23,m8,FJR,,,
C58743,A-4277487,01/08/2023,,25107.50881585293,SAR,Pending,AAN,ملاحظة,ملاحظة,,Y23,,AAN,,,
C64079,A-3218551,Aug-15-23,-2936.53,-2936.53,USD,,FJR,ملاحظة,ملاحظة,,Y23,m8,FJR,,,
,A-6139233,Aug-08-23,not available,not available,SAR,,DXB,,,,Y23,,DXB,,,
,A-1436194,Aug-07-23,-6746.73,(6746.73),USD,,AUH,ok,ok,,0,56,AUH,,,x
C37748,A-6096585,2023-08-12,(29060.24),,SAR,Closed,UAQ,,,,,79,UAQ,,,
C37044,A-7785988,25 August 2023,"27,079.73",27061.03,EUR,Closed,RAK,,,,Y23,,RAK,,,
C31955,A/18716,2023-08-04 00:00:00,22638.66,22638.66,USD,Pending,AAN,ok,ok,,Y23,16,AAN,,,
C70792,A-2000937,2023-08-03,(24838.36),24838.36,EUR,Pending,  DXB,needs review,needs review,,,74,DXB,,,
C27489,A-5286909,2023-08-27,24043.53,(24043.53),AED,In Review,SHJ,ok,ok,,Y23,,  SHJ,,,x
C56213,A-8799828,2023-08-23 00:00:00,5352.71,,USD,Open,DXB,ok,ok,,Y23,,DXB,,,
C76882,A-7847515,2023-08-18,-5452.758608670565,not available,SAR,Pending,UAQ,,,,Y23,47,UAQ,,,
C19225,A-9362856,2023-08-12,(2392.41),-2354.293691580741,EUR,Closed,AUH,!!!,!!!,,Y23,m8,AUH,,,
C75136,A-2606132,13/08/2023,16277.85,16277.85,USD,In Review,AAN,,,,Y23,58,AAN,x,x,
C35161,A/58654,2023-08-07,-5535.75,-5535.75,USD,,AAN,ملاحظة,ملاحظة,,,28,AAN,,,
,A-3702513,,15656.11,15632.35977778823,eur ,In Review,DXB,!!!,!!!,,,m8,DXB,,,
C79213,A-4435149,10 August 2023,(434.75),-476.72,EUR,Closed,AUH,!!!,!!!,,Y23,15,AUH,,,
C94656,A/98684,2023-08-08,12439.3917512876,"12,409.79",AED,,DXB,!!!,!!!,,Y23,,DXB,,,
C87989,A/5502,27 August 2023,29920.47413519064,29946.16,OMR,In Review,UAQ,,,x,1,58,UAQ,,,
C66397,A-4364395,07/08/2023,29004.08,29004.08,AED,Closed,FJR,ملاحظة,ملاحظة,,Y23,,FJR,,,
C66591,A-1745491,04/08/2023,23480.15,23480.15,USD,Closed,UAQ,needs review,needs review,,Y23,30,UAQ,,,
C82773,A-8907601,22 August 2023,"8,567.72",8598.315047140382,OMR,Open,FJR,needs review,needs review,,Y23,m8,FJR,,,
C41763,A-2996416,02/08/2023,16818.77,16818.77,SAR,,DXB,ok,ok,,,m8,DXB,,,
C22562,A-8435222,,,22786.95,SAR,,RAK,ملاحظة,ملاحظة,,,65,RAK,,,
C86281,A-8886085,Aug-28-23,12651.95,(12651.95),AED,In Review,SHJ,,,x,0,,SHJ,,,
C56224,A-2896906,05 August 2023,21059.98,21059.98,OMR,Open,FJR,ok,ok,,Y23,,FJR,x,,
C14487,A-4450407,Aug-02-23,15922.95,,EUR,Open,DXB,ok,ok,,,m8,DXB,,x,
C87976,A-9391651,2023-08-22 00:00:00,18556.34,18556.34,SAR,Pending,FJR,,,,Y23,m8,  FJR,x,,
C44843,A-4273918,2023-08-06 00:00:00,(825.28),-777.74,EUR,Pending,UAQ,ok,ok,,Y23,m8,UAQ,,,
