clientnumber,A/C No.,Txn Date, amount (aed)  #,AMT, ISO_CURR  , Approval Status  ,REGION,Notes, REASON_TEXT  ,,year_added_2023,new_col_202302,Account ID,mystery_2023_02_12,mystery_2023_02_84,mystery_2023_02_29,mystery_2023_02_11,Unnamed: 0
,A-1599540,2023-02-18,,23164.05,GBP,Pending,FJR,ok,ok,,Y23,m2,A-1599540,,,,,
C49110,A-1726844,2023-02-26 00:00:00,,,AED,In Review,RAK,ملاحظة,ملاحظة,,Y23,,A-1726844,,,,,x
C33849,A-2377030,Feb-07-23,673.81,696.338031238974,AED,Pending,DXB,,,,1,,A-2377030,,,,,
C15862,A-2873427,Feb-17-23,5477.58,5477.58,USD,Open,AUH,,,,0,82,A-2873427,,,,,
C82095,A-1066242,2023-02-20,-7425.15,-7425.15,SAR,Closed,UAQ,ok,ok,,Y23,m2,A-1066242,,,x,,
C18481,A-8737945,32/13/2023,19486.28,(19533.29),USD,Open,SHJ,ok,ok,,Y23,m2,A-8737945,,,,,
C25677,A/41194,Feb-01-23,3533.65,,EUR,Closed,RAK,,,,Y23,89,A/41194,,,x,,
C81170,A-4770000,0000-00-00,"10,242.33",10229.86,aed ,Open,UAQ,,,,1,,A-4770000,,,,,
C57586,A-3130493,2023-02-18,15819.4555138455,not available,GBP,Open,  AUH,ok,ok,,Y23,22,A-3130493,x,,,,
C44961,A-7604010,09/02/2023,14559.07161092478,14585.990015319121,OMR,Pending,RAK,needs review,needs review,,Y23,,A-7604010,x,,,,
,A/48042,2023-02-16 00:00:00,27171.17242353757,27161.57550851576,SAR,In Review,AUH,!!!,!!!,,Y23,m2,A/48042,,,,,
C85980,A-3068103,15 February 2023,"11,009.70",11009.7,OMR,Open,  FJR,ok,ok,,Y23,62,A-3068103,,,,,
C55383,A-1888538,01/02/2023,29086.62,29086.62,AED,Open,SHJ,,,,Y23,m2,A-1888538,,,,,
C41979,A-8389948,2023-02-09,5928.22,not available,SAR,Open,SHJ,ok,ok,,Y23,,A-8389948,x,,,,
,A-3806347,15 February 2023,-1905.82,-1953.855130193011,AED,,AUH,ok,ok,,Y23,,A-3806347,,,,,
C66917,,2023-02-08,15033.93,(15033.93),AED,,AUH,ok,ok,,0,m2,,,,,,
C79556,A-4892400,17 February 2023,-6655.49,-6655.49,AED,Pending,AUH,ملاحظة,ملاحظة,,0,14,A-4892400,,,,x,
C28718,A-3176014,2023-02-17,-2847.982371064963,,AED,Pending,SHJ,ok,ok,,1,,A-3176014,,,,,
C98541,A-7168879,25/02/2023,-3755.892869674873,-3707.88,USD,,FJR,!!!,!!!,junk,,m2,A-7168879,,,,,
C81861,A-8753629,21 February 2023,"8,811.46",8811.46,SAR,,SHJ,ملاحظة,ملاحظة,,1,m2,A-8753629,x,,,x,
C65540,A-6296431,08/02/2023,,19947.96,USD,CANCELLED,AUH,ok,ok,,Y23,66,A-6296431,,,,,
C60884,A-8342548,06 February 2023,"17,293.73",,EUR,Closed,SHJ,ok,ok,,Y23,m2,A-8342548,,,x,,
C99184,,2023-02-11 00:00:00,"25,036.11","25,000.65",OMR,Open,SHJ,ok,ok,,Y23,m2,,,,,,
C99140,A-2635780,18/02/2023,11458.22,,SAR,,SHJ,!!!,!!!,,Y23,,A-2635780,,,,,
C95940,A/69463,19/02/2023,"-6,165.89",(6130.12),SAR,CANCELLED,AUH,needs review,needs review,,,72,A/69463,,,,,
,A-6234681,,,,USD,CANCELLED,  FJR,ok,ok,,Y23,m2,A-6234681,x,,,,x
C63506,A-9656099,Feb-03-23,"14,912.76",,OMR,CANCELLED,  RAK,,,junk,Y23,88,A-9656099,,,x,,
C34079,A-3324224,2023-02-21,(3421.21),"3,421.21",OMR,In Review,DXB,,,,,,A-3324224,,,,,
C56082,A-3703459,2023-02-16,,,EUR,,AAN,!!!,!!!,,1,,A-3703459,,,x,,
