cust#,_gl_acc__, posting_dt  ,TXN_VALUE, Amount  ,CCY (v2), status  ,Region,notes,Memo,,YEAR_ADDED_2024,new_col_202412,state*,mystery_2024_12_29,mystery_2024_12_2,Unnamed: 0
C44369,A-3579016,2024-12-10,-4569.03,-4569.03,EUR,Open,FJR,,,,Y24,m12,Open,,,
C58503,A-6448394,2024-12-03,(3379.59),not available,AED,,RAK,needs review,needs review,,Y24,,,x,x,
C69856,A-8383535,06 December 2024,29112.43,29112.43,omr ,In Review,  SHJ,ok,ok,,,94,In Review,,,
C29792,A-5957988,Dec-04-24,(14043.56),,AED,,FJR,ملاحظة,ملاحظة,,Y24,m12,,,,
C36185,,2024-12-08,-2764.3914567806733,-2803.98,USD,In Review,AAN,ok,ok,junk,,m12,In Review,,,
C47629,A-2228484,2024-12-22,,17819.71,SAR,,RAK,needs review,needs review,,,,,,,
C25358,A/48274,2024-12-07,11091.25,11091.25,OMR,Closed,UAQ,ملاحظة,ملاحظة,,1,72,Closed,,,
C66653,A-9990815,2024-12-10,16460.73,"16,460.73",SAR,,AAN,ok,ok,,Y24,12,,,,
C70467,A/51826,Dec-01-24,10604.86346112071,10583.16,GBP,,RAK,,,,,80,,,,
,,Dec-24-24,-7623.1,-7608.894115835433,USD,Pending,DXB,ok,ok,,,,Pending,,,
C55632,A-8339675,,not available,28379.60784532691,GBP,,AAN,ok,ok,junk,,m12,,x,,
C16138,A-7930062,28 December 2024,7439.694344316423,7439.359007125544,EUR,,FJR,needs review,needs review,junk,,44,,,x,
C74125,A-3547508,Dec-09-24,-6130.97,,EUR,,AAN,ok,ok,,Y24,m12,,,,
C10505,A-9056209,0000-00-00,"12,698.20",12698.2,USD,Pending,DXB,needs review,needs review,,,95,Pending,,,
C17364,A-2910307,01 December 2024,27133.06,(27133.06),USD,In Review,UAQ,ok,ok,,1,,In Review,,,
C47559,A-4240439,Dec-08-24,,"12,511.79",OMR,CANCELLED,SHJ,needs review,needs review,,Y24,35,CANCELLED,,,
C87187,A-1254444,2024-12-18,9320.92,9320.92,EUR,CANCELLED,SHJ,!!!,!!!,,Y24,m12,CANCELLED,,,
C56451,,26/12/2024,4156.302813482451,4182.16,AED,Closed,AAN,,,,,m12,Closed,,,
C39486,A-8079506,Dec-12-24,,18065.24807166913,AED,CANCELLED,SHJ,ملاحظة,ملاحظة,,Y24,,CANCELLED,,,
C87781,A-2849904,2024-12-15,-3679.359236865653,,USD,Pending,UAQ,ok,ok,,,m12,Pending,,,
C38205,A-8507040,2024-12-20,,,OMR,,UAQ,ok,ok,,,m12,,,x,
C93829,A-4982734,Dec-12-24,"3,097.75",,USD,CANCELLED,AUH,ok,ok,,,76,CANCELLED,,,
C42604,A-2633591,28 December 2024,1437.93,1437.93,GBP,,AUH,ok,ok,,,m12,,,,
,A-2398301,20/12/2024,26964.75,26936.81547394905,SAR,CANCELLED,AAN,,,,1,m12,CANCELLED,,,
C23770,A-4214642,,5148.607812387994,5197.26,EUR,In Review,SHJ,ok,ok,,Y24,20,In Review,,,x
C71239,A-3244433,,1325.66,,AED,Closed,DXB,,,,Y24,m12,Closed,,,
,A-7003332,2024-12-08,(17535.80),17563.27,SAR,,UAQ,ok,ok,junk,Y24,,,,,
C96063,A-8203555,05 December 2024,8478.93,8478.93,USD,Open,SHJ,ok,ok,,0,,Open,,,
C99532,A-7284866,2024-12-26,10746.07,"10,696.47",GBP,,UAQ,,,,,m12,,,,
C24854,A-7438230,2024-12-25,,16946.41,GBP,Closed,DXB,,,,Y24,,Closed,,,
C36069,A-2237226,Dec-25-24,2619.742189348691,"2,667.76",USD,CANCELLED,AAN,!!!,!!!,,1,m12,CANCELLED,,,x
C66562,A/58697,2024-12-27,not available,(20415.92),SAR,,UAQ,ok,ok,,,,,,x,
C25087,A-8441677,32/13/2023,12324.53,"12,324.53",EUR,Open,  SHJ,ok,ok,,Y24,,Open,,x,x
C96756,A-7768819,2024-12-24 00:00:00,5211.332476420074,5223.34273734187,EUR,Closed,AUH,ok,ok,,0,,Closed,,,
C95619,A-8250417,2024-12-18,,-7977.02,AED,Pending,AAN,,,,,86,Pending,,x,
C70476,A-7023767,01 December 2024,27432.37,27432.37,GBP,Pending,AUH,ok,ok,junk,0,,Pending,,,
C26659,A-1909388,25 December 2024,,-7664.59,EUR,Open,  AUH,ملاحظة,ملاحظة,,Y24,83,Open,,,
C82133,A-2826877,08/12/2024,-487.62,-487.62,USD,CANCELLED,AAN,,,,Y24,,CANCELLED,,x,
C70603,A-5298387,32/13/2023,-5995.28,-5995.28,AED,Closed,RAK,needs review,needs review,,Y24,m12,Closed,,,
C11062,A-8173314,12/12/2024,7039.74,,AED,CANCELLED,RAK,ok,ok,,Y24,m12,CANCELLED,,,
,A-2268041,2024-12-23,,not available,EUR,Closed,AAN,ملاحظة,ملاحظة,,Y24,m12,Closed,,,
C69476,A-2595962,2024-12-15,"-1,722.37",-1722.37,SAR,In Review,FJR,needs review,needs review,,Y24,,In Review,,,
C64274,A-4947272,Dec-23-24,28723.14542415815,,AED,Open,RAK,ملاحظة,ملاحظة,junk,,m12,Open,,,
,A-9250057,2024-12-07,,14935.51467439581,aed ,,  AAN,,,junk,1,,,,,
C87939,A-8565563,07/12/2024,29981.73,"29,981.73",sar ,Closed,SHJ,!!!,!!!,,,m12,Closed,x,,
