CLIENT_REF (v2),Acct,posting date,amount (AED),Amount,CCY*,approval status, REGION  ,REASON_TEXT*,Commentary (v2),,YEAR_ADDED_2024, new_col_202402 ,Unnamed: 0,mystery_2024_02_16,mystery_2024_02_45,mystery_2024_02_56
C97499,A-3740438,2024-02-03,5180.51,5180.51,OMR,In Review,  AAN,needs review,needs review,,Y24,m2,,,,
C21447,A-9271184,Feb-12-24,5478.440635469073,5494.463650831371,EUR,Pending,RAK,,,,,,,,,
C28241,A/89017,Feb-21-24,,3719.07,AED,,AAN,needs review,needs review,,,m2,,,,
C99689,A-3379357,27 February 2024,415.46,415.46,USD,,UAQ,needs review,needs review,,Y24,m2,,,,
C25184,A-8647894,07/02/2024,15307.75,15307.75,SAR,Open,DXB,!!!,!!!,,1,,,,,
C15299,A-5453767,28 February 2024,25958.317158107417,,GBP,Closed,AAN,ملاحظة,ملاحظة,,Y24,m2,,,,x
C90286,A-9206628,Feb-06-24,(27501.73),27501.73,USD,,UAQ,ok,ok,junk,0,m2,,,x,
C17844,A-5440540,Feb-03-24,4914.6,not available,GBP,Pending,SHJ,ok,ok,,Y24,m2,,,,
C87067,A-7067470,05 February 2024,,,SAR,Closed,  FJR,needs review,needs review,,0,43,,,,
C49443,A-1536977,,,(1201.30),USD,,DXB,ok,ok,,,35,,,,
C18992,A-9155115,23 February 2024,27965.71,27965.71,AED,In Review,RAK,needs review,needs review,,Y24,,,,x,x
,A-1178707,14 February 2024,6086.88,6066.196974760956,OMR,In Review,DXB,,,junk,Y24,,,x,x,
C66095,A-4193447,21/02/2024,723.03,,EUR,Pending,AUH,ملاحظة,ملاحظة,,,m2,,,,
C24363,A-1536566,08/02/2024,12512.1,12512.1,USD,CANCELLED,AUH,ok,ok,,Y24,,,,,
C61009,A-9724717,2024-02-19,23144.12,,eur ,CANCELLED,DXB,ملاحظة,ملاحظة,,Y24,,,,,x
C84653,A-8516993,Feb-24-24,,(24332.31),USD,In Review,RAK,,,,0,m2,,x,,
C27153,A-1275109,0000-00-00,11691.36,11691.36,EUR,,RAK,ok,ok,,0,47,,,,
C91681,A-5231503,04/02/2024,26447.56,26447.56,EUR,,UAQ,,,,Y24,,,,,
,A-7159076,19 February 2024,16373.7,,SAR,Pending,FJR,,,,1,m2,,,,
C63510,A-1418065,32/13/2023,not available,,AED,Closed,  DXB,ok,ok,,,78,x,,,
C24219,A-5626064,Feb-11-24,,(10547.70),GBP,CANCELLED,UAQ,needs review,needs review,,Y24,m2,,,,
C42641,A-1405119,25 February 2024,15043.90360443472,15040.78,EUR,,RAK,ok,ok,,0,12,,,,
C46571,A-6530638,09/02/2024,"21,124.61",,OMR,Open,AAN,!!!,!!!,,Y24,m2,,,,
C29733,,2024-02-25,4604.3,4604.3,OMR,,FJR,ملاحظة,ملاحظة,,,,,x,,
C95235,A-1183232,2024-02-24,(22523.53),(22517.34),EUR,In Review,AAN,ملاحظة,ملاحظة,,Y24,,,,,
C10566,A-1972927,28 February 2024,"5,409.13","5,420.07",USD,Closed,  UAQ,ok,ok,,Y24,35,,,,
C15213,A-8213776,Feb-13-24,24867.39,24867.39,SAR,Closed,DXB,!!!,!!!,,Y24,m2,,,x,
C13949,A-2588385,Feb-08-24,2105.95,not available,SAR,In Review,SHJ,ملاحظة,ملاحظة,,,31,,,x,
C16786,A-6662803,16 February 2024,24146.947107314223,,GBP,Pending,RAK,ok,ok,,,m2,,,,
C52458,A-3232067,32/13/2023,,"27,253.30",GBP,Pending,RAK,,,,0,,,,,
C19650,A-8304034,32/13/2023,29892.97,29892.97,GBP,Open,AUH,,,,1,,,,,
,A/55211,2024-02-23,27106.23,not available,USD,In Review,RAK,ok,ok,,Y24,76,,,x,
C41534,A-3675935,Feb-22-24,13169.91,13169.91,AED,In Review,RAK,,,,1,,,x,x,
C24279,A-6493295,2024-02-14,not available,-7040.16823090092,EUR,Closed,UAQ,ملاحظة,ملاحظة,,Y24,51,,,,
C96053,A-9365438,20/02/2024,18351.1,not available,OMR,,FJR,ok,ok,,Y24,33,,,,x
C72896,,2024-02-04,not available,14269.21,GBP,Open,AUH,ok,ok,junk,1,m2,,,,
,A-3398965,2024-02-23,2229.02632406519,2262.5,EUR,CANCELLED,FJR,needs review,needs review,,Y24,,,,,
C73608,A-3934360,32/13/2023,-2621.72,-2621.72,usd ,,DXB,ok,ok,,Y24,m2,,,,
C86962,A-6153702,25/02/2024,,,GBP,,RAK,ok,ok,,,m2,,,,
,A-9903269,Feb-15-24,20640.16,not available,OMR,,AUH,needs review,needs review,,,,,,,
C89453,A-7155763,2024-02-21,"1,761.86",1761.86,AED,,  UAQ,,,,Y24,m2,,x,,
C79809,A-9394793,Feb-16-24,"10,095.02",10095.02,SAR,Closed,  UAQ,,,junk,Y24,,,,,
