CUST_IDENTIFIER,A/C No.,TRANSACTIONDATE, Amt  ,,Curr.,APPRV_STATE,br_code,REASON_TEXT,remarks,UNUSED,year_added_2024,new_col_202406,CCY,mystery_2024_06_8,mystery_2024_06_16,mystery_2024_06_95,mystery_2024_06_13,mystery_2024_06_93,Unnamed: 0
C60867,A-5296300,2024-06-10,not available,,GBP,Closed,FJR,ملاحظة,ملاحظة,,,,GBP,,,,x,x,
,A-4910490,03/06/2024,,,USD,Pending,FJR,ملاحظة,ملاحظة,,,,USD,,,,x,,
C41168,A/58499,32/13/2023,23582.33496961898,,AED,Pending,UAQ,ok,ok,,,m6,AED,,x,,,,
C55087,A-5102399,32/13/2023,-7019.75,junk,GBP,,AUH,needs review,needs review,,Y24,m6,GBP,,,x,,,
C74359,A-3446362,2024-06-22,,,EUR,Pending,AAN,needs review,needs review,,Y24,m6,EUR,,,,,,
C34287,A-1832498,2024-06-11,26747.69099296552,,SAR,Closed,  AUH,ok,ok,x,0,,SAR,,,,x,,
C96929,A-7478663,2024-06-03,"3,563.23",,GBP,In Review,DXB,,,,Y24,m6,GBP,,,,,,
C73953,A-1785007,2024-06-06 00:00:00,(25426.43),junk,SAR,CANCELLED,FJR,,,,Y24,m6,SAR,,,,,,
C69662,A-8522510,Jun-24-24,(6387.19),,SAR,Closed,AAN,,,,0,m6,SAR,,,,,x,x
C17340,A-6994017,2024-06-26,(6453.91),,USD,Open,AAN,ok,ok,x,Y24,m6,USD,,,,,,
C62405,A-9602637,07/06/2024,12283.38,,SAR,CANCELLED,  DXB,!!!,!!!,,,m6,SAR,x,,,,,
C97820,A-4135757,03 June 2024,27466.11,,USD,In Review,FJR,ok,ok,,,26,usd ,,,,,,
C60211,A-3382373,Jun-18-24,,,sar ,,  RAK,needs review,needs review,,Y24,,SAR,,,,,,x
C71680,A/14825,16/06/2024,not available,,USD,Closed,AAN,ملاحظة,ملاحظة,,Y24,,USD,,,,x,,
C73244,A-8027453,2024-06-05 00:00:00,-1707.8,,EUR,CANCELLED,RAK,!!!,!!!,,Y24,83,EUR,,,,,,
C41616,A-9517038,19/06/2024,29636.97,,USD,CANCELLED,AUH,,,,Y24,63,USD,,,,,,
C97664,A-9979754,2024-06-15,,,aed ,Pending,AAN,ok,ok,,Y24,m6,AED,x,,,,,
C57874,A-9862849,2024-06-19,28087.62356455097,,SAR,CANCELLED,  AUH,!!!,!!!,,Y24,,SAR,,,,x,,
C70595,A-6590711,Jun-24-24,-2640.17,,OMR,Pending,UAQ,,,,Y24,,OMR,,,,,,
C97198,A-6021028,18 June 2024,,,OMR,CANCELLED,UAQ,,,,Y24,m6,OMR,x,,,,x,
C27524,A-9666730,28/06/2024,,,USD,Pending,FJR,,,,Y24,m6,USD,,x,,,,
C97604,A-2055220,2024-06-08,22984.29,,GBP,Pending,SHJ,ok,ok,,Y24,82,GBP,,x,,,,
C58995,A-2417036,2024-06-05,,,SAR,Pending,DXB,ok,ok,,1,m6,SAR,,,,,,
C50124,A-9181673,Jun-14-24,13481.32,,AED,,UAQ,,,,0,72,AED,,,,,,
C24350,A-2889512,25 June 2024,(6702.23),,GBP,Open,AAN,ok,ok,,Y24,,GBP,,,,,,
C67311,A-2024750,2024-06-04,(6492.84),junk,EUR,,FJR,needs review,needs review,,Y24,m6,EUR,x,,,,,
C80474,A-8565082,0000-00-00,18226.2,,USD,In Review,FJR,ok,ok,,Y24,,USD,,x,,x,,
C52616,A-5316289,2024-06-28,"3,683.15",,EUR,,  UAQ,,,,Y24,92,EUR,,,,,,
C43710,A-1773582,2024-06-22,13810.04,,USD,In Review,UAQ,needs review,needs review,,Y24,,USD,,,,,x,
,A-9387178,09 June 2024,26456.73,,EUR,In Review,AAN,ok,ok,,Y24,55,EUR,,,,,,
,A-1530903,2024-06-26,25002.22,,USD,Closed,SHJ,!!!,!!!,,Y24,m6,USD,,,,,,
C58077,A/23997,21/06/2024,5286.14,,EUR,,AUH,needs review,needs review,,Y24,,EUR,,,,,,
C69018,A-5295455,2024-06-06,11392.28354023356,,EUR,Closed,  AUH,,,,0,33,EUR,,,,,,
C91958,A-5150155,2024-06-08,4663.13,junk,AED,CANCELLED,  AUH,ok,ok,,Y24,m6,AED,x,,,,,
C16598,A-1213531,2024-06-03 00:00:00,13117.41,,GBP,Open,AUH,needs review,needs review,,Y24,48,GBP,,,x,,,
C85683,A-1108571,0000-00-00,,,EUR,Closed,DXB,,,,1,47,EUR,,,,,,
C52693,A-4515160,2024-06-01,,,EUR,In Review,AAN,needs review,needs review,,Y24,,EUR,,,,,,
C33834,A-3152141,2024-06-12 00:00:00,7404.06,,SAR,,RAK,ok,ok,,Y24,,SAR,,,,,,
C74493,A-2067368,2024-06-28,not available,,GBP,CANCELLED,SHJ,ok,ok,,,,GBP,,,,,,
C58664,A-2264901,Jun-22-24,21782.81,,USD,Closed,RAK,ok,ok,x,Y24,,USD,,,,,,
C24414,A-4081029,2024-06-10,-6810.288713485318,junk,USD,Closed,SHJ,,,,0,59,USD,,,,,,
C70140,A-4197792,23/06/2024,(21505.58),junk,SAR,In Review,  FJR,needs review,needs review,,1,,SAR,,x,,,,
C71988,A-8986608,2024-06-23,not available,,EUR,Closed,SHJ,needs review,needs review,,1,m6,EUR,,,,,,
C69272,A-7592470,22 June 2024,29556.08,,EUR,,RAK,!!!,!!!,,Y24,m6,EUR,,,,,,
C36305,A-4262555,0000-00-00,(16507.23),,SAR,,AUH,ok,ok,,0,m6,SAR,,,,,,
C11729,,2024-06-09,,,AED,Open,AAN,needs review,needs review,,1,,AED,,,x,,,
C31560,A-7693817,22/06/2024,"15,034.88",,GBP,CANCELLED,DXB,ok,ok,,,,GBP,,,,,,x
C86006,A-4824862,Jun-23-24,,,EUR,Closed,FJR,needs review,needs review,,,81,EUR,x,,x,,,
C45303,A-5007185,Jun-20-24,"13,728.14",,AED,Open,SHJ,,,,Y24,m6,AED,,,,,,
C27507,A-9155386,2024-06-13,"4,990.73",,EUR,,RAK,,,,Y24,m6,EUR,,,,,x,
,A-9583240,2024-06-19,22814.39,,OMR,,UAQ,needs review,needs review,,0,96,OMR,,,,,,
C83180,A-1843983,2024-06-19 00:00:00,,,GBP,,SHJ,,,,,,GBP,,,,x,,x
C96511,A-7513093,2024-06-20,9600.230659127312,junk,EUR,Open,UAQ,ok,ok,,1,,EUR,,,,,,
C26623,A-1596396,23/06/2024,,,SAR,CANCELLED,AAN,ok,ok,,0,,sar ,x,,,,,x
C46804,A-4745347,08 June 2024,"4,509.37",,USD,In Review,FJR,ملاحظة,ملاحظة,,,m6,USD,,,,,,
C44554,A-7499803,Jun-26-24,13941.38,,EUR,,SHJ,,,,1,,EUR,,,,,,
C70499,A-7413584,32/13/2023,"13,532.55",,SAR,Open,FJR,,,,1,,SAR,,,,,,
C81857,A-6969779,2024-06-03,16471.22,,USD,,AAN,ok,ok,,,,USD,,,,,,
C34607,A-4953271,2024-06-14,11895.68,,eur ,,FJR,!!!,!!!,,1,m6,EUR,,,,,,
C87276,A-4439471,07/06/2024,(6487.11),,USD,,DXB,,,x,Y24,m6,USD,,,,,x,
C93036,A/94085,2024-06-18 00:00:00,(7085.74),,GBP,Closed,  UAQ,needs review,needs review,,Y24,m6,GBP,,,,,,
C94011,A-9317815,32/13/2023,22288.2,,USD,,UAQ,,,,0,,USD,x,x,,,,
C82046,A/34523,05 June 2024,2649.393049435393,,OMR,,AAN,,,,Y24,m6,OMR,x,,,,,
C19851,A/38850,Jun-04-24,"11,795.85",,gbp ,In Review,DXB,ملاحظة,ملاحظة,,,79,GBP,,,,,,
,A-3314534,2024-06-27,15185.53150722615,,GBP,,AUH,needs review,needs review,,,82,GBP,,,,,,
C96262,A-6978118,2024-06-08,29796.94170765652,,OMR,CANCELLED,RAK,ok,ok,,Y24,40,OMR,,,,,x,
,A-2851145,20/06/2024,28622.13,,EUR,Closed,DXB,,,,Y24,67,EUR,,x,x,x,,
C38763,A-7727855,32/13/2023,9739.712703026278,,AED,In Review,AUH,!!!,!!!,,1,44,AED,,,,,,
C98272,A-3556770,32/13/2023,"27,441.40",,gbp ,Pending,  DXB,ok,ok,,1,62,GBP,,,,,,
C61987,A-8273430,Jun-01-24,"17,556.84",,GBP,,RAK,ok,ok,x,Y24,,GBP,,,,,,
C41994,A/95191,2024-06-16,-5894.378569413458,,OMR,Open,FJR,ok,ok,,,,OMR,,,,,,
C65240,A-9481339,25 June 2024,"27,369.84",,USD,Pending,  FJR,ok,ok,,Y24,m6,USD,,,x,,,
C65405,A-4215621,,28090.59,,SAR,Closed,UAQ,ok,ok,,Y24,m6,SAR,,,x,x,x,
C56468,A-8890827,0000-00-00,4194.39,,OMR,In Review,UAQ,needs review,needs review,,Y24,,OMR,,,,,,
C85682,A-9851809,07/06/2024,"21,073.77",,gbp ,,AUH,ok,ok,,Y24,m6,GBP,,,,,,
