IDs,IDs,Dates,Amounts,Amounts,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta
POLICY_REF,INSURED_ID,_Loss_Date__,ClaimValue#,claim_amt,Unnamed: 0,_AUTH_FLAG__,batch_identifier,review_notes,Comments,,year_added_2023,new_col_202303,mystery_2023_03_32,mystery_2023_03_58,Unnamed: 0
P116187,M45866,03 March 2023,not available,,x,Y,,duplicate,duplicate,,Y23,INC-5937,1,1,1
,M48243,2023-03-06 00:00:00,34241.64,,,FALSE,B074,مرفوض,مرفوض,,Y23,,,,x
P171503,M77894,Mar-03-23,not available,,,Y,B115,,,,,MED,,1,
,M86659,0000-00-00,16207.57879744291,,,TRUE,B007,ok,ok,,,MED,1,,
,M55211,21 March 2023,18586.64,,x,N,B001,missing doc,missing doc,,Y23,,,,
P792137,M11983,2023-03-25,(20168.71),,,N,B118,??,??,,IN,INC-1308,,,
P369216,M60491,32/13/2023,43329.81800477089,,x,Y,B083,,,,Y23,LOW,1,,1
P902290,,Mar-24-23,,,,Y,,ok,ok,,,,1,1,1
P794301,m-79756,08/03/2023,13721.35,,,N,B035,,missing doc,,,MED,,,1
P126606,M30248,Mar-12-23,10261.15346484693,,x,Y,B105,,duplicate,,Y23,MED,,1,
P462745,M69177,25 March 2023,48532.91,,,Y,,,,,,INC-3027,,,
P221281,M23756,2023-03-09,1807.34,,1,TRUE,B059,ok,ok,,Y23,INC-9853,,,x
P186266,M14254,2023-03-17,,,,Y,B069,ok,ok,,,,,,x
P250245,M92128,18/03/2023,(25842.74),,,Y,B098,,,,Y23,,,,1
P112514,M10057,22/03/2023,36622.618744333355,,1,TRUE,B115,missing doc,missing doc,,Y23,INC-8277,1,,
P808767,m-45461,23/03/2023,31219.11298432636,,x,N,,duplicate,duplicate,,Y23,,x,,
P778921,M58812,Mar-27-23,,,,N,B117,missing doc,missing doc,,IN,,,1,
P587224,m-59192,32/13/2023,15550.02,,,Y,B080,,,,Y23,,1,,
P461277,M35317,2023-03-03,28799.5,,,TRUE,B093,missing doc,missing doc,,IN,,,1,
P218152,M89851,2023-03-16,31674.51178884198,,1,N,B066,,,,Y23,INC-6163,x,x,
P659774,M39444,28 March 2023,,,,Y,,,,,,INC-6765,,1,
P115468,M60727,32/13/2023,,,,Y,B037,,ok,,,,,,
,M32662,Mar-24-23,,,,Y,B093,,,,Y23,MED,,1,
P271907,m-28500,2023-03-26 00:00:00,4311.47,,,FALSE,,duplicate,duplicate,,,MED,,,
P938490,,21 March 2023,31480.12602808127,,,N,,duplicate,duplicate,,Y23,INC-9765,x,,
P174103,M22122,2023-03-10,44033.02,,x,Y,B044,ok,ok,,IN,,,,
P567051,M31651,2023-03-21,(44538.74),,x,N,B119,ok,ok,junkflag,,MED,,,x
P450630,M94188,24/03/2023,"45,406.87",,,Y,,missing doc,missing doc,,IN,HIGH,,,
P573325,m-78047,2023-03-22,41617.65497640501,,1,N,B049,missing doc,missing doc,,IN,INC-7825,,,x
P114579,m-7669,2023-03-27 00:00:00,47559.82,,,Y,,,ok,,Y23,LOW,x,,1
P238781,M42487,28/03/2023,4244.58,,,Y,B013,duplicate,duplicate,,Y23,MED,,1,
,M98641,03/03/2023,,,,,B050,missing doc,missing doc,,,,1,,
P847509,M84477,Mar-05-23,32821.74,,,Y,,duplicate,duplicate,,IN,,,,1
P712141,m-37487,18 March 2023,7175.204849325994,,,Y,,missing doc,missing doc,,IN,HIGH,,,
P559921,M51100,32/13/2023,22942.91,,,N,B082,missing doc,missing doc,,Y23,INC-1042,,,
P251466,M58195,2023-03-18,,,,N,,??,??,,,LOW,,,x
P571471,M92253,14/03/2023,35955.00481851639,,,TRUE,,,,,,,,x,
,M55718,0000-00-00,32844.52,,,N,,duplicate,duplicate,,Y23,,,,
P876053,M53020,2023-03-18 00:00:00,45812.54449694138,,1,N,,duplicate,duplicate,,,INC-6102,,,1
P502739,M59367,Mar-01-23,,,,Y,B109,missing doc,,,IN,,1,x,
P791409,M88471,2023-03-06,,,,Y,,missing doc,missing doc,,IN,HIGH,,,
P588789,M19382,2023-03-09 00:00:00,31810.52825431022,,,Y,B067,مرفوض,مرفوض,,,,,x,1
P557666,M79210,2023-03-03,39795.77,,1,Y,B013,duplicate,duplicate,junkflag,Y23,LOW,,,1
P283281,M64829,2023-03-05,13105.8496718069,,,Y,B042,,,,,,,,x
,M23698,32/13/2023,"38,394.02",,1,TRUE,B024,,,,Y23,,,,1
P498431,M26053,28/03/2023,25843.49,,,Y,B114,missing doc,missing doc,,Y23,HIGH,,,
P189861,m-177,18 March 2023,"19,616.48",,,Y,B089,missing doc,missing doc,,,INC-2903,,,1
P838700,M39562,17/03/2023,24667.84,,1,,B092,,,,IN,INC-9474,,1,1
P379042,M22498,Mar-20-23,"31,236.15",,,Y,,,,,Y23,INC-1012,,x,x
P170340,M27594,2023-03-18,,,1,Y,B068,,missing doc,junkflag,IN,INC-9130,,,
P636993,M18553,2023-03-15,"5,379.28",,,Y,B011,ok,ok,,Y23,,,,
P586453,,32/13/2023,19986.41,,,Y,,ok,ok,,Y23,INC-5362,1,,1
P614073,M16967,01 March 2023,46549.81,,1,N,B102,missing doc,missing doc,,,LOW,,,
P261875,M73138,2023-03-02,"10,651.10",,,Y,B032,,duplicate,,Y23,INC-2392,,,x
P404610,m-8189,32/13/2023,24233.4,,,,B063,مرفوض,مرفوض,,Y23,INC-1603,,,x
P228319,M89229,09 March 2023,"26,278.77",,,N,B016,,,,,,,,
P499180,M65370,2023-03-07 00:00:00,15965.01,,,Y,,duplicate,duplicate,,IN,,,x,x
,M75881,2023-03-21,24246.32,,,TRUE,B109,ok,ok,,Y23,,,,x
P701405,M53133,04 March 2023,,,x,N,B077,ok,,,Y23,,,,
P381025,M62705,2023-03-20,41026.54,,x,N,B038,مرفوض,مرفوض,,IN,,,1,
P547045,M19586,32/13/2023,not available,,,Y,B009,missing doc,missing doc,,IN,,,,
P139821,m-5189,Mar-21-23,30556,,,N,B070,ok,ok,,IN,,,1,
P388616,M96500,Mar-26-23,21768.13,,,Y,B030,missing doc,missing doc,,Y23,INC-9576,,,
P853404,m-50882,2023-03-14,"32,214.72",,x,,,,,,IN,LOW,,,
P757198,M26054,2023-03-20,(43190.83),,,Y,B015,missing doc,missing doc,,IN,INC-1651,,x,1
